[30-Oct-2017 17:52:23 Asia/Tokyo] PHP Fatal error:  Class 'App\Http\Controllers\Item' not found in /home/ubuntu/workspace/monolist/app/Http/Controllers/ItemUserController.php on line 101
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  34. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  35. App\Http\Middleware\Authenticate->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/app/Http/Middleware/Authenticate.php:45
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  37. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  38. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  39. Illuminate\Routing\Route->run() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  40. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  41. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  42. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  43. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  44. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  45. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  46. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  47. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  48. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  49. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  50. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[30-Oct-2017 17:52:23 Asia/Tokyo] PHP  51. App\Http\Controllers\ItemUserController->want() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP Fatal error:  Class 'App\Http\Controllers\User' not found in /home/ubuntu/workspace/monolist/app/Http/Controllers/UsersController.php on line 51
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP Stack trace:
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/monolist/server.php:0
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/monolist/server.php:21
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/monolist/public/index.php:54
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  34. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  35. App\Http\Middleware\Authenticate->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/app/Http/Middleware/Authenticate.php:45
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  37. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  38. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  39. Illuminate\Routing\Route->run() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  40. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  41. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  42. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  43. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  44. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  45. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  46. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  47. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  48. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  49. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  50. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[30-Oct-2017 17:53:13 Asia/Tokyo] PHP  51. App\Http\Controllers\UsersController->show() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '__data' (T_STRING) in /home/ubuntu/workspace/monolist/storage/framework/views/ce01d6d016052a0b3775345a990292dd on line 31
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP Stack trace:
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/monolist/server.php:0
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/monolist/server.php:21
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/monolist/public/index.php:54
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[30-Oct-2017 17:54:30 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/monolist/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
